DOEID,REGIONC,DIVISION,REPORTABLE_DOMAIN,HDD65,CDD65,TOTSQFT,Y1_BTUEL,DOLLAREL,Y2_BTUNG,DOLLARNG,HDD50,CDD80,WSF,OA_LAT
7759,1,2,5,4946,962,2044,19203,705,49405,769,2431,0,.51,4
7761,4,8,22,5685,659,1632,24775,776,2563,22,2413,0,.58,0
7764,3,5,14,4712,1165,4448,58997,2862,63653,958,1877,5,.47,7
7765,3,6,18,2600,1974,1952,69721,2455,85075,1549,682,104,.44,9
7766,3,7,21,2273,2623,1300,52937,2446,63653,785,553,524,.52,7
7767,1,2,3,4706,1043,500,11178,847,75338,1264,1895,78,.62,5
7768,3,7,21,1201,4099,4472,79885,2071,38233,495,146,1098,.46,7
7769,2,4,10,9481,332,3377,106898,1890,4613,243,5540,35,.69,1
7770,4,8,23,6011,725,2446,12283,364,50328,420,2776,75,.56,0
7771,4,10,27,4898,184,880,35638,1005,51455,724,1392,0,.63,0
7774,3,7,21,2322,2527,1424,49293,1789,60680,738,610,522,.54,6
7775,2,4,12,4963,1074,5834,65671,1634,106190,1195,2227,54,.48,6
7776,2,4,11,4608,1352,2277,24727,727,65498,766,1924,57,.6,5
7777,3,5,15,3094,1756,983,35458,950,35363,456,806,48,.4,7
7779,1,1,2,5529,761,1466,30138,1388,140425,2219,2464,0,.53,4
7780,2,3,7,6184,612,3650,16299,575,82000,905,3168,24,.59,1
7784,1,1,1,6958,329,598,18077,810,85383,1414,3453,0,.59,2
7785,3,5,17,805,3348,1344,40818,1483,34235,754,57,322,.38,23
7789,3,7,21,2409,2323,2240,31155,1283,159388,1147,582,328,.53,7
7790,2,3,9,8501,263,1632,12205,483,80975,772,5071,32,.49,1
7791,4,10,27,4855,265,1799,23338,650,27368,464,1415,28,.55,0
7793,4,10,26,2442,2159,2210,26678,682,31775,257,448,283,.5,1
7796,2,4,12,4295,1492,3360,41272,863,112033,1311,1761,107,.42,4
7798,4,10,26,817,1418,777,40777,1649,88868,711,41,11,.38,1
7799,4,9,24,1085,4254,1640,25863,1154,18963,391,76,1539,.47,0
7802,2,4,10,9355,365,1852,34871,805,68265,673,5520,0,.69,1
7804,2,3,9,7189,413,3881,19059,662,69188,781,3891,9,.68,2
7805,4,8,22,5285,805,2688,35915,1062,106088,916,2491,9,.6,0
7806,1,2,4,4643,1031,1114,14556,780,33415,540,1762,1,.49,6
7807,2,4,12,5479,865,2561,16985,661,89073,1021,2237,27,.52,5
7808,3,6,18,4195,1301,1092,15197,377,54735,600,1601,0,.45,5
7809,2,3,6,6422,591,1710,45847,1628,122283,914,2972,13,.61,3
7810,2,4,11,6424,674,4057,33984,2068,153135,1581,3071,16,.56,4
7812,4,10,26,2221,2438,1590,27177,1115,30853,313,237,365,.46,0
7814,1,1,2,6211,488,3396,31895,1473,2153,90,2979,0,.54,2
7817,2,3,7,5427,866,2724,38163,1280,58733,724,2398,2,.49,2
7818,3,7,21,1207,3393,9081,169590,7671,128125,1482,135,641,.42,14
7819,2,4,11,6377,863,1598,20950,594,52173,597,3090,27,.58,2
7820,3,7,21,2502,2236,2900,50453,1945,67958,741,555,339,.53,7
7821,4,10,26,1221,1866,1408,22379,905,40590,427,46,138,.38,0
7823,2,3,7,5727,616,4450,22035,787,85485,846,2553,11,.61,2
7825,3,7,21,1414,2813,4320,53777,1952,36183,514,124,454,.4,18
7826,4,9,25,1823,3921,1325,55005,1988,55350,682,409,1019,.56,0
7827,1,1,2,5551,755,1800,20301,1057,76773,1318,2515,6,.55,4
7829,2,3,8,6581,399,199,59543,2218,154263,1627,3312,0,.57,1
7832,4,10,26,2831,111,1638,19059,969,73288,811,79,22,.56,0
7833,2,3,8,6522,467,3828,30660,1165,206333,2327,3202,0,.56,1
7838,3,7,21,2276,2620,1512,32823,1191,32903,456,605,515,.53,7
7839,4,10,26,2685,701,2024,36618,2271,37515,412,254,0,.52,0
7840,2,4,12,5390,888,2304,29937,1011,83230,997,2368,29,.51,5
7841,3,6,19,3684,1533,1560,75098,2175,42435,503,1328,30,.46,10
7844,2,3,8,6910,373,4332,12764,424,140733,1477,3571,0,.6,3
7845,4,10,26,2199,1583,1417,22396,670,54325,647,282,42,.49,0
7847,1,2,3,4896,998,599,7541,548,3588,52,1826,26,.63,4
7848,2,3,9,7550,362,2460,26365,965,86100,921,3694,5,.52,2
7849,2,4,11,4654,1338,1728,32557,956,68778,735,1952,86,.61,4
7850,4,10,26,2687,2112,1404,18971,600,6253,57,489,257,.46,0
7852,1,1,2,5877,589,3926,55605,2568,79233,1103,2549,0,.56,3
7853,3,6,19,2965,2061,1639,49877,1307,31877,431,938,182,.47,11
7854,3,7,21,2533,2390,2240,50368,1828,62115,743,662,441,.53,8
7857,1,2,3,5658,519,2250,8465,579,82308,1202,2120,4,.57,5
7858,1,1,2,6865,345,881,8595,458,21935,467,3392,0,.5,3
7860,2,4,12,4255,1506,2072,20789,544,114800,1350,1692,109,.47,7
7861,3,5,16,3152,1680,2916,104680,3195,91020,1265,878,67,.46,10
7862,2,4,11,5106,1099,5801,61474,1731,135198,1407,2289,52,.55,2
7863,1,2,5,5563,678,2744,14460,263,63653,940,2550,14,.46,2
7864,4,10,26,1409,1255,840,9315,371,4305,82,56,89,.39,1
7865,2,3,7,5839,751,630,51197,1286,35978,566,2843,0,.54,3
7866,1,2,5,5678,617,2579,16674,706,65293,857,2570,10,.55,2
7867,2,4,11,4753,1339,800,25433,861,56683,690,2475,50,.52,5
7868,2,3,6,4617,1314,1344,49348,1654,23678,461,1858,67,.54,6
7873,3,5,17,455,3902,3786,32803,997,23165,507,0,450,.38,22
7874,1,2,3,4932,974,497,10639,745,20808,304,1926,4,.59,3
7877,3,5,14,4022,1558,2871,18350,910,72058,912,1543,71,.49,5
7878,3,7,21,1860,2927,1154,24498,867,19885,320,374,571,.45,7
7879,1,2,4,5011,797,16122,12792,799,204795,2985,2060,8,.51,5
7882,4,10,26,939,1981,1914,16995,551,50328,413,0,150,.39,1
7883,4,10,26,2524,1348,4578,43994,1556,39361,415,328,12,.51,0
7884,1,2,3,5798,712,3000,14767,833,99118,1578,2597,29,.56,2
7885,1,1,2,5311,819,2187,33444,1476,131303,1977,2471,34,.54,3
7890,2,4,10,7609,557,2880,26177,862,55453,537,4618,23,.5,0
7892,4,10,26,1143,1191,572,10127,371,50225,456,18,11,.35,1
7893,4,10,26,2249,342,1760,9687,328,25113,255,46,39,.49,1
7895,4,10,26,741,1511,1890,25119,998,37515,308,0,43,.37,0
7898,3,5,13,3519,1513,3600,83307,2576,110393,1395,1288,50,.5,8
7901,1,1,2,6723,386,2964,43752,2013,100040,1413,3199,15,.55,3
7902,2,4,12,4548,1413,2340,32612,803,79028,1058,1828,87,.53,5
7903,2,4,11,4172,1401,3104,51299,1433,27880,302,1661,143,.55,6
7906,2,4,10,7548,661,1401,19288,682,65395,574,4268,0,.64,1
7908,2,3,9,7343,360,269,3364,190,51660,542,4015,2,.61,2
7909,4,10,26,1322,1964,1646,38075,1730,38438,391,29,173,.43,0
7910,1,2,4,4713,1037,961,8817,483,44485,696,2056,0,.5,6
7911,1,2,5,4279,1326,731,9984,339,83948,1193,1911,18,.5,4
7912,3,7,21,2365,2441,2337,89022,2698,66318,870,592,385,.52,6
7914,1,1,1,6885,345,1122,12549,594,6253,99,3272,30,.59,2
7915,4,8,22,5765,689,1643,12358,428,65293,589,2324,6,.58,0
7916,4,8,23,7128,372,3086,23853,630,155288,1214,3762,0,.74,0
7917,4,10,26,3143,1192,792,18995,821,42333,389,434,63,.5,0
7918,3,6,18,3200,1935,3890,40367,1179,55555,737,941,93,.47,11
7920,2,4,12,4661,1086,1109,65415,1284,42948,398,1863,51,.54,5
7921,3,5,17,122,4678,2784,59980,2169,27470,551,21,518,.39,30
7922,4,8,23,5639,819,650,30882,843,49815,432,2704,14,.55,0
7923,4,10,26,1295,706,681,10100,401,11481,166,70,2,.4,1
7925,2,4,10,8038,482,2208,36126,1145,125563,1125,4542,0,.52,0
7928,4,10,26,2549,1036,777,14641,498,30238,293,260,38,.54,0
7932,2,3,8,6696,387,1280,21001,731,57400,656,3297,0,.54,1
7933,4,10,26,2772,2048,2400,38747,2065,47868,499,495,312,.46,0
7934,3,7,21,4378,1205,812,15272,554,45510,497,1424,31,.69,1
7935,3,6,18,5264,886,2268,11318,367,95325,1113,1813,0,.47,4
7937,4,10,26,818,1417,357,9438,408,19578,180,44,44,.37,0
